Id	Name	Kind	Censored_Desc
5025	מגדל דוד - המוזיאון לתולדות ירושלים	מוזיאונים ותרבות	"מצודה בחומות העיר העתיקה שהיא מכלול של מגדלים מוקפים חומה וחפיר . מצונזר הארכיאולוגי שבחצר המצודה יש שרידים קדומים . באולמות המצודה פועל מצונזר מגדל דוד לתולדות ירושלים . חזיון לילי מיוחד על סיפורה של ירושלים לאורך הדורות מתקיים בערבים בחצר מצונזר . כמו כן , סיפורו של דוד המלך מועבר באמצעות חוויה רב חושית המשלבת עבר , הווה ועתיד , באמצעות הטכנולוגיות המתקדמות ביותר בעולם . סיפורו של דוד המלך מועבר בחוויה רב - חושית המשלבת עבר , הווה ועתיד באמצעות טכנולוגיות מתקדמות .  
 "
5295	חוף בוגרשוב	חופים	"מצונזר ממוקם במרכז הטיילת התל אביבית , נגיש בתחבורה ציבורית , וסביבו מגרשי חניה בתשלום . מצונזר נמצאת האנדרטה לזכר הספינה אלטלנה . 
 צלם : גדי מינץ . מתוך מצונזר פיקיוויקי ."
5303	חוף גבעת עליה	חופים	"מצונזר הדרומי ביותר של תל - אביב - יפו , נושק לגבול בת - ים . מצונזר מרהיב המאופיין בקשתות , עצי דקל ואבן כורכר . התחושה בו היא של מצונזר קטן ומשפחתי , עם קסם יפואי מיוחד כשבאי מצונזר הם בעיקר מקומיים . על חלקו המרכזי של מצונזר חולשת מעין חומת אבן , מבנה נאה ולא פולשני , ומדרגות מובילות מהחניה הנוחה אל רצועת מצונזר הרחבה למדי . בזמן השפל אפשר לשבת על הסלעים הגדולים והשטוחים ושבקרבת מצונזר ולצפות בסרטנים וברכיכות שונות המנהלים את שגרת יומם . בגבולו הצפוני מצונזר רחב ידיים . לצד מצונזר מגרש חניה ללא תשלום . 
 צלם : דני סביל . מתוך מצונזר פיקיוויקי 
 "
5304	חוף גורדון	חופים	"מצונזר הצפוני ביותר של רצועת מצונזר המרכזית בעיר , סמוך למרינה התל אביבית . 
 מצונזר זה משרת תיירים רבים הבאים מהמלונות הסמוכים , תושבים ותיקים הבאים לבצע פעילות מצונזר בשעות הבוקר וכן את הקהל הרחב . 
 בטיילת העליונה של מצונזר נמצא מצונזר ההנצחה לאייבי נתן , טייס חיל האוויר ופעיל השלום שנפטר בשנת 2008 . 
 צלם : חן חייק . מתוך מצונזר פיקיוויקי . 
 
 "
5307	חוף הילטון	חופים	"שמו של מצונזר , בעל האופי הצעיר , מעיד על מיקומו . מצונזר ממוקם במרכז כביש השרות שבין מצונזר ' מציצים ' למרינה והכניסה אליו בכלי רכב אסורה , פרט לרכב מורשה ולרכב נכה . 
 מצונזר גישה מיטבית לציבור מצונזר מוגבלויות , הבאים ליהנות מהחוף ולבצע פעילויות מצונזר ימי , וזהו מצונזר הנגיש ביותר לנכים בארץ . 
 חלקו הצפוני של מצונזר הוא קטע מצונזר המותר לכניסת כלבים . 
 מצונזר הדרומי מוכרז כחוף הגולשים מס ' 1 בארץ : כיום הותקנו בו פנסי תאורה לגלישת לילה , וכשהים גלי התאורה דולקת וכולם מוזמנים לבוא ולהנות . 
 צלם : אהרון מזרחי . מתוך מצונזר פיקיוויקי . 
 "
5317	חוף מציצים	חופים	"מצונזר מיתולוגי זה , המוכר מהסרט ' מציצים ' , ממוקם צפונית מערבית לשדרות נורדאו . 
 מצונזר , בעל אופי משפחתי , עבר שיפוץ יסודי והפך לחוף מודרני תוך שימור אלמנטים ממראהו המקורי . 
 מצונזר נושק לצידו הדרומי של נמל תל - אביב , קיימת גישה נוחה בתחבורה ציבורית והחניה במגרשים הסמוכים בתשלום . 
 צלם : אבישי טייכר . מתוך מצונזר פיקיוויקי . 
 "
5365	יקב אכזיב	יקבים	"מצונזר אכזיב הוא מצונזר בוטיק משפחתי , מצונזר שוכן בסדנאות אומנים בקיבוץ גשר הזיו , ( ליד נהריה ) . 
 מצונזר הוקם בבציר 2005 ע""י האמן מרק גוברמן .   מצונזר מתקיימות סדנאות ציור , פיסול , 
 נפחות , ייצוב בזכוכית ועוד ... 
 
 
 "
5684	מוזיאון וילפריד ישראל לאמנות ולידיעת המזרח	מוזיאונים ותרבות	"מצונזר המציג את האוסף של וילפריד ישראל המוקדש לאמנות המזרח הרחוק העתיק והמזרח הקרוב ולארכיאולוגיה מקומית . 
 מצונזר מוצגות גם תערוכות אמנות פלסטית ותערוכות מתחלפות . 
 "
5689	פארק ירוחם	פארקים וגנים	"מאגר מים שמקורו בנחל רביבים הסמוך לעיירה ירוחם . המאגר הפך לפארק שסביבו עצים ושולחנות פיקניק ואפשר לראות בו עופות מים וגם לדוג דגים . 
 אגם ירוחם הוא הלב הפועם של מצונזר ירוחם . 
 המים הכחולים , תלוי בצבע השמיים , הצמחייה הירוקה , הקשקוש של עופות המים והצחיחות המדברית החרישית מסביב . 
 קרדיט לתמונה :   יהודית גרעין - כל . מתוך מצונזר פיקיוויקי .  
 "
5751	גן הלאומי ניצנה	ארכיאולוגיה והיסטוריה	"גבעה שבראשה מתנשאים שרידי העיר הנבטית הקדומה ניצנה . בתקופה הרומית שגשגה העיר ונבנתה בה מצודה גדולה . 
 מצונזר נמצאו גם שרידים של שלוש כנסיות . 
 קרדיט לתמונה : אבישי טייכר . מתוך מצונזר פיקיוויק ."
